text,category
Harassment complaint needs attention - theft; refund not received for 2 days near Main Bazaar urgent.,Law & Order
Road has big potholes causing accidents near Station Road!,Roads
Driver rash driving complaint - bus since last week Thanks.,Transport
Broadband internet not working - speed for 3 days near Ward 11 please.,Internet Services
School has no proper drinking water and toilets near Phase 1.,Education
Insurance claim not processed yet; status pending near Shivaji Chowk Kindly help.,Insurance
Water pipeline leakage on the street from last night pls.,Water
Water pipeline leakage on the street; refund not received since last week kindly look into this pls.,Water
Internet bill paid but service suspended for 3 days near Nehru Nagar kripya,Internet Services
Public bus service delayed daily since last week Thanks.,Transport
Safety issue in locality at night; service not working near Ring Road high priority!,Law & Order
Dirty water coming from taps near Gandhi Nagar!,Water
Employment office registration issue; bill issue near Gandhi Nagar.,Employment
Salary not received under scheme for 3 days near Phase 2 pls.,Employment
Road has big potholes causing accidents for 48 hours near Phase 2 needs immediate attention Thanks.,Roads
Drain is blocked and sewage is overflowing high priority sir/madam Thanks.,Sanitation
Ticketing machine not working in bus - delay for a week near Ward 11 urgent Kindly help.,Transport
Ticketing machine not working in bus; service not working near Sector 21 kripya Kindly help.,Transport
General complaint about public service delay pls.,Other
Transformer is sparking and making noise pls.,Electricity
Flat allotment not received after approval near Sector 21 pls.,Housing
Drain is blocked and sewage is overflowing; portal error for a week please resolve asap please!,Sanitation
Ticketing machine not working in bus near Gandhi Nagar Kindly help.,Transport
Frequent call drops and poor signal from 10 AM today urgent bahut problem.,Telecom
General complaint about public service delay since yesterday requesting quick action!,Other
Train delayed without information - station; complaint not updated for a week near Sector 21 needs immediate attention please pls.,Railways
No street cleaning in our area - waste from last night please resolve asap pls.,Sanitation
Housing scheme application rejected wrongly - maintenance from last night pls.,Housing
Driver rash driving complaint; complaint not updated kindly look into this,Transport
Salary not received under scheme madad kijiye!,Employment
Employment office registration issue near Ward 5 please resolve asap Kindly help.,Employment
No network coverage inside my house - signal!,Telecom
Ticketing machine not working in bus; bill issue for a week near Block C urgent.,Transport
LPG subsidy not received please resolve asap Thanks.,Gas
Wrong cylinder delivered by agency; portal error Thanks.,Gas
Overcharging by vendors at station please pls.,Railways
Aadhaar update request pending!,Documents
Pension status showing pending for long time from 10 AM today high priority!,Pension
Employment office registration issue; bill issue madad kijiye!,Employment
Frequent power cuts every night since yesterday!,Electricity
Aadhaar update request pending - aadhaar; bill issue since yesterday urgent Thanks.,Documents
Hospital staff not available at counter since last week jaldi,Healthcare
WiFi speed is very slow please Thanks.,Internet Services
Road has big potholes causing accidents since last month sir/madam Kindly help.,Roads
College fee receipt not generated online Thanks.,Education
Employment office registration issue; complaint not updated for 48 hours please resolve asap namaskar Kindly help.,Employment
Employment office registration issue; complaint not updated near Civil Lines please resolve asap!,Employment
Insurance claim not processed yet from 10 AM today near Station Road namaskar Thanks.,Insurance
General complaint about public service delay since last month!,Other
Insurance claim not processed yet - claim near Gandhi Nagar needs immediate attention bahut problem pls.,Insurance
Electricity bill shows wrong meter reading; complaint not updated for a week kripya,Electricity
Public bus service delayed daily; bill issue since last month near Sector 21 Thanks.,Transport
Train delayed without information; complaint not updated since last week kindly look into this Kindly help.,Railways
GST registration issue on portal near Ward 11 please resolve asap Kindly help.,Tax
Pension status showing pending for long time - pension kindly look into this Kindly help.,Pension
Harassment complaint needs attention; complaint not updated from last night Thanks.,Law & Order
Wrong tax demand notice received; complaint not updated for 3 days Kindly help.,Tax
No street cleaning in our area for a week kindly look into this please,Sanitation
Water pipeline leakage on the street from last night near Sector 21 Thanks.,Water
Wrong cylinder delivered by agency; refund not received from last night near MG Road sir/madam Thanks.,Gas
Frequent power cuts every night for 3 days near Shivaji Chowk namaskar Thanks.,Electricity
Public bus service delayed daily for 48 hours,Transport
Public bus service delayed daily; status pending for 3 days kindly look into this.,Transport
Scholarship amount not received since last week high priority.,Education
Tax portal login problem since last month kindly look into this pls.,Tax
Scholarship amount not received; portal error since yesterday pls.,Education
School has no proper drinking water and toilets near Nehru Nagar Kindly help.,Education
Public toilet is not maintained - garbage,Sanitation
General complaint about public service delay for 3 days pls.,Other
Need help regarding government portal issue; service not working for 48 hours near Main Bazaar bahut problem pls.,Other
Wrong cylinder delivered by agency for 3 days near Old City Kindly help.,Gas
Overcharging by vendors at station since yesterday near New Town requesting quick action pls.,Railways
WiFi speed is very slow pls.,Internet Services
Wrong tax demand notice received needs immediate attention Kindly help.,Tax
Wrong cylinder delivered by agency; service not working since last week near Block A!,Gas
Road has big potholes causing accidents - bridge; refund not received for 2 days.,Roads
Train delayed without information please resolve asap,Railways
SIM not active even after recharge; complaint not updated from 10 AM today near Block C needs immediate attention sir/madam!,Telecom
Internet bill paid but service suspended from last night near New Town please resolve asap Thanks.,Internet Services
Cheque clearance taking too long since yesterday near Shivaji Chowk please Thanks.,Banking
Name correction in PAN card not done near New Town sir/madam,Documents
Public toilet is not maintained - cleaning madad kijiye!,Sanitation
Flat allotment not received after approval - maintenance; service not working Kindly help.,Housing
Cheque clearance taking too long kripya.,Banking
Train delayed without information for 48 hours,Railways
Street road is flooded because of bad surface for 48 hours near Station Road pls.,Roads
Train delayed without information; portal error for 48 hours please resolve asap pls.,Railways
Cheque clearance taking too long for 2 days near Block A,Banking
No street cleaning in our area; support not responding near Sector 12 kindly look into this.,Sanitation
Doctor not present in government hospital for 3 days.,Healthcare
Harassment complaint needs attention for a week high priority.,Law & Order
Flat allotment not received after approval near Ward 11 Thanks.,Housing
Road has big potholes causing accidents; status pending near Shivaji Chowk needs immediate attention!,Roads
Scholarship amount not received near MG Road kindly look into this,Education
Internet bill paid but service suspended,Internet Services
Internet bill paid but service suspended Kindly help.,Internet Services
Need help regarding government portal issue - general; portal error high priority jaldi.,Other
Pension status showing pending for long time requesting quick action.,Pension
College fee receipt not generated online since yesterday near Gandhi Nagar needs immediate attention pls.,Education
Water pipeline leakage on the street,Water
Passport verification delayed for 48 hours near Old City kripya,Documents
No street cleaning in our area from 10 AM today near Ring Road requesting quick action,Sanitation
LPG subsidy not received,Gas
GST registration issue on portal for 3 days requesting quick action kripya.,Tax
LPG subsidy not received; refund not received near Block A madad kijiye!,Gas
Frequent power cuts every night; complaint not updated near Ward 11 Thanks.,Electricity
No water supply to our house; portal error since last week near Gandhi Nagar please pls.,Water
Road has big potholes causing accidents since yesterday near Phase 2 please resolve asap!,Roads
Frequent call drops and poor signal - signal for 48 hours high priority,Telecom
Road construction left incomplete since yesterday near Main Bazaar urgent!,Roads
LPG subsidy not received for 48 hours near Block A requesting quick action namaskar.,Gas
Overcharging by vendors at station high priority Thanks.,Railways
Insurance claim not processed yet needs immediate attention Thanks.,Insurance
SIM not active even after recharge!,Telecom
General complaint about public service delay; support not responding for 48 hours!,Other
Frequent power cuts every night jaldi pls.,Electricity
Broadband internet not working for 48 hours high priority pls.,Internet Services
Electricity bill shows wrong meter reading - voltage since last week near New Town requesting quick action,Electricity
Doctor not present in government hospital since last week near Sector 12 high priority pls.,Healthcare
Wrong tax demand notice received from 10 AM today pls.,Tax
Train delayed without information since yesterday near Block A.,Railways
Aadhaar update request pending - aadhaar near Shivaji Chowk please resolve asap.,Documents
Train delayed without information since yesterday near Phase 1 pls.,Railways
Internet bill paid but service suspended - wifi from last night pls.,Internet Services
School has no proper drinking water and toilets for 3 days near Gandhi Nagar please resolve asap,Education
Flat allotment not received after approval; status pending for 48 hours Kindly help.,Housing
Need help regarding government portal issue for 48 hours near Block C high priority kripya pls.,Other
Scholarship amount not received pls.,Education
Broadband internet not working; portal error for a week urgent Kindly help.,Internet Services
Net banking login not working for 2 days near Sector 21 high priority,Banking
Pension status showing pending for long time for 3 days near Phase 1 madad kijiye Thanks.,Pension
Policy document not received Thanks.,Insurance
Hospital staff not available at counter near Sector 21 kindly look into this bahut problem Thanks.,Healthcare
Housing scheme application rejected wrongly kindly look into this!,Housing
Internet bill paid but service suspended since last month!,Internet Services
Overcharging by vendors at station since yesterday near Block A needs immediate attention,Railways
WiFi speed is very slow - wifi since last month requesting quick action,Internet Services
ATM cash not received but balance debited urgent Thanks.,Banking
Broadband internet not working; status pending near Ring Road Kindly help.,Internet Services
Driver rash driving complaint since last week please resolve asap,Transport
LPG subsidy not received near Nehru Nagar Thanks.,Gas
Harassment complaint needs attention near Sector 21 requesting quick action.,Law & Order
No network coverage inside my house; complaint not updated Kindly help.,Telecom
Aadhaar update request pending for a week kripya Kindly help.,Documents
Electricity bill shows wrong meter reading; portal error since last week.,Electricity
Cheque clearance taking too long - upi for 48 hours high priority.,Banking
Ticketing machine not working in bus from last night near Station Road.,Transport
Flat allotment not received after approval please resolve asap,Housing
Aadhaar update request pending for a week jaldi Kindly help.,Documents
WiFi speed is very slow - router; portal error near Phase 1,Internet Services
Requesting guidance for grievance process; bill issue near Main Bazaar kripya.,Other
Dirty water coming from taps for 48 hours near Main Bazaar jaldi Kindly help.,Water
Pension status showing pending for long time - disbursement; bill issue near Nehru Nagar,Pension
Requesting guidance for grievance process for 48 hours kindly look into this Kindly help.,Other
Need correction in insurance policy details; support not responding for 3 days.,Insurance
LPG subsidy not received since last month near Phase 1.,Gas
Public toilet is not maintained; status pending since last month kindly look into this!,Sanitation
Harassment complaint needs attention for 48 hours jaldi Thanks.,Law & Order
Public toilet is not maintained near Block A.,Sanitation
GST registration issue on portal since yesterday please resolve asap jaldi Thanks.,Tax
Tax portal login problem sir/madam Thanks.,Tax
Driver rash driving complaint.,Transport
Ticketing machine not working in bus - bus Kindly help.,Transport
Pension status showing pending for long time since last month near Gandhi Nagar Kindly help.,Pension
Safety issue in locality at night near Station Road please resolve asap bahut problem Kindly help.,Law & Order
Policy document not received; refund not received please resolve asap,Insurance
WiFi speed is very slow since yesterday kindly look into this.,Internet Services
Drain is blocked and sewage is overflowing; status pending from last night,Sanitation
Drain is blocked and sewage is overflowing near Sector 21,Sanitation
No network coverage inside my house since last week near Model Town.,Telecom
Street road is flooded because of bad surface since last month near Gandhi Nagar Thanks.,Roads
Tax portal login problem near Block A!,Tax
No water supply to our house; status pending for 3 days.,Water
Overcharging by vendors at station; bill issue Thanks.,Railways
LPG subsidy not received; portal error near Nehru Nagar Kindly help.,Gas
General complaint about public service delay since last month sir/madam.,Other
Aadhaar update request pending near Model Town jaldi pls.,Documents
Policy document not received - policy pls.,Insurance
Salary not received under scheme needs immediate attention Thanks.,Employment
College fee receipt not generated online namaskar pls.,Education
Train delayed without information - train,Railways
LPG subsidy not received from 10 AM today Thanks.,Gas
Need help regarding government portal issue since last week please Kindly help.,Other
Name correction in PAN card not done near Ring Road requesting quick action!,Documents
Tax portal login problem - pan linked; complaint not updated for 3 days near Block A Kindly help.,Tax
Cheque clearance taking too long; service not working since yesterday high priority Thanks.,Banking
LPG subsidy not received near Nehru Nagar kripya.,Gas
Medicine not available in dispensary urgent namaskar.,Healthcare
Salary not received under scheme near Model Town needs immediate attention Kindly help.,Employment
Water pipeline leakage on the street from 10 AM today near Main Bazaar needs immediate attention please Kindly help.,Water
Insurance claim not processed yet bahut problem!,Insurance
General complaint about public service delay since last week near Shivaji Chowk.,Other
Safety issue in locality at night from last night jaldi!,Law & Order
Flat allotment not received after approval near Nehru Nagar bahut problem Thanks.,Housing
Safety issue in locality at night from 10 AM today,Law & Order
Safety issue in locality at night since last month near Sector 12 pls.,Law & Order
SIM not active even after recharge since last week near Civil Lines Thanks.,Telecom
Tax portal login problem - pan linked for 3 days Thanks.,Tax
No street cleaning in our area from 10 AM today near Ward 5.,Sanitation
Train delayed without information for 48 hours needs immediate attention pls.,Railways
SIM not active even after recharge since last month near Block A requesting quick action Kindly help.,Telecom
Delay in pension payment every month from last night.,Pension
Salary not received under scheme - recruitment sir/madam Kindly help.,Employment
Housing scheme application rejected wrongly near Nehru Nagar jaldi,Housing
Flat allotment not received after approval since last month,Housing
Public toilet is not maintained; status pending since last month near Ring Road please resolve asap.,Sanitation
Dirty water coming from taps for 48 hours needs immediate attention Kindly help.,Water
Cheque clearance taking too long; bill issue from 10 AM today high priority.,Banking
Electricity bill shows wrong meter reading - transformer near Phase 1 Thanks.,Electricity
Scholarship amount not received - scholarship for 2 days near Phase 1 Thanks.,Education
Housing scheme application rejected wrongly - maintenance; complaint not updated.,Housing
Harassment complaint needs attention from last night near Ring Road requesting quick action Kindly help.,Law & Order
Wrong tax demand notice received since yesterday near Phase 2.,Tax
Salary not received under scheme since last month sir/madam Kindly help.,Employment
Policy document not received; support not responding since yesterday please resolve asap pls.,Insurance
Ticketing machine not working in bus namaskar!,Transport
Name correction in PAN card not done; portal error,Documents
Street road is flooded because of bad surface near Phase 2 sir/madam.,Roads
GST registration issue on portal - income tax for 2 days requesting quick action sir/madam,Tax
Housing scheme application rejected wrongly for a week,Housing
Frequent call drops and poor signal from last night namaskar pls.,Telecom
Train delayed without information; complaint not updated Kindly help.,Railways
Public toilet is not maintained since yesterday near Nehru Nagar madad kijiye.,Sanitation
Aadhaar update request pending - certificate; service not working pls.,Documents
No network coverage inside my house; bill issue since yesterday near Ward 11!,Telecom
ATM cash not received but balance debited for 2 days near Block A.,Banking
Flat allotment not received after approval near Phase 2 urgent Kindly help.,Housing
WiFi speed is very slow; complaint not updated for 2 days near Phase 1.,Internet Services
Harassment complaint needs attention since yesterday near Ward 5 pls.,Law & Order
Passport verification delayed,Documents
Tax portal login problem since yesterday urgent namaskar pls.,Tax
Road construction left incomplete since last month pls.,Roads
Doctor not present in government hospital since yesterday,Healthcare
LPG subsidy not received - booking near New Town kindly look into this jaldi Thanks.,Gas
ATM cash not received but balance debited,Banking
Housing scheme application rejected wrongly; status pending near Sector 21 jaldi pls.,Housing
Street road is flooded because of bad surface from 10 AM today near Sector 21 Thanks.,Roads
Salary not received under scheme; bill issue madad kijiye!,Employment
Dirty water coming from taps; status pending from 10 AM today near Sector 21,Water
Need help regarding government portal issue; bill issue since last week Kindly help.,Other
Passport verification delayed - passport; bill issue for 48 hours near Model Town namaskar.,Documents
Safety issue in locality at night near Phase 2 requesting quick action,Law & Order
Water pipeline leakage on the street for 3 days urgent pls.,Water
Housing scheme application rejected wrongly; support not responding requesting quick action sir/madam.,Housing
Employment office registration issue; bill issue since last week near Phase 2,Employment
Insurance claim not processed yet; refund not received near MG Road high priority,Insurance
Policy document not received; bill issue since last month near Ward 5!,Insurance
Train delayed without information; bill issue for a week pls.,Railways
Scholarship amount not received please pls.,Education
Flat allotment not received after approval since yesterday near Model Town Kindly help.,Housing
General complaint about public service delay near Sector 12 pls.,Other
Water pipeline leakage on the street since last month kindly look into this.,Water
Overcharging by vendors at station - railway for 2 days near Sector 12 requesting quick action namaskar!,Railways
Passport verification delayed near Block C urgent.,Documents
Delay in pension payment every month near Ward 11.,Pension
Policy document not received; status pending from 10 AM today near Main Bazaar please resolve asap.,Insurance
Harassment complaint needs attention for a week needs immediate attention Kindly help.,Law & Order
Overcharging by vendors at station since last week needs immediate attention sir/madam.,Railways
Internet bill paid but service suspended for 2 days near Model Town madad kijiye Thanks.,Internet Services
ATM cash not received but balance debited for 48 hours bahut problem!,Banking
No street cleaning in our area urgent.,Sanitation
Harassment complaint needs attention for a week high priority.,Law & Order
Cheque clearance taking too long since yesterday Kindly help.,Banking
No network coverage inside my house Thanks.,Telecom
Train delayed without information; bill issue for 2 days.,Railways
Housing scheme application rejected wrongly for 3 days near Ward 5 please resolve asap,Housing
Road construction left incomplete; complaint not updated for 48 hours near Main Bazaar jaldi!,Roads
WiFi speed is very slow Kindly help.,Internet Services
Delay in pension payment every month from last night bahut problem Thanks.,Pension
Dirty water coming from taps near Nehru Nagar.,Water
Need help regarding government portal issue bahut problem,Other
Salary not received under scheme for a week near Gandhi Nagar!,Employment
School has no proper drinking water and toilets; refund not received since last month near Civil Lines kindly look into this!,Education
Flat allotment not received after approval near Nehru Nagar,Housing
LPG subsidy not received - delivery kindly look into this Kindly help.,Gas
School has no proper drinking water and toilets,Education
Harassment complaint needs attention from 10 AM today urgent,Law & Order
Voltage fluctuation is damaging appliances; bill issue from last night kripya,Electricity
Dirty water coming from taps from 10 AM today high priority pls.,Water
LPG subsidy not received; refund not received please resolve asap!,Gas
Wrong cylinder delivered by agency pls.,Gas
Frequent power cuts every night since yesterday please resolve asap!,Electricity
Hospital staff not available at counter urgent.,Healthcare
LPG subsidy not received near Main Bazaar madad kijiye!,Gas
Aadhaar update request pending from last night near Ward 11 urgent,Documents
Tax portal login problem since last week near Model Town jaldi,Tax
Voltage fluctuation is damaging appliances; status pending for a week near Ring Road Thanks.,Electricity
Public toilet is not maintained,Sanitation
Tax portal login problem - tax portal; refund not received since last month near Block A.,Tax
Flat allotment not received after approval since last week near MG Road.,Housing
Public bus service delayed daily since yesterday near Phase 1 please resolve asap.,Transport
Street road is flooded because of bad surface near MG Road namaskar pls.,Roads
Pension status showing pending for long time - payment near Civil Lines bahut problem,Pension
College fee receipt not generated online - college for a week,Education
Salary not received under scheme; refund not received for 2 days near Ward 5 kindly look into this!,Employment
Street road is flooded because of bad surface from 10 AM today near Phase 2 requesting quick action pls.,Roads
Water pipeline leakage on the street Thanks.,Water
Wrong cylinder delivered by agency jaldi Kindly help.,Gas
SIM not active even after recharge for 48 hours please pls.,Telecom
No street cleaning in our area since last week sir/madam Thanks.,Sanitation
Safety issue in locality at night near Old City.,Law & Order
No water supply to our house; support not responding for 2 days Thanks.,Water
Train delayed without information; complaint not updated since yesterday!,Railways
ATM cash not received but balance debited near Block A needs immediate attention.,Banking
Doctor not present in government hospital; portal error from 10 AM today near Block C Kindly help.,Healthcare
Tax portal login problem,Tax
Insurance claim not processed yet; support not responding from last night Thanks.,Insurance
Voltage fluctuation is damaging appliances namaskar pls.,Electricity
Name correction in PAN card not done; refund not received for 3 days kindly look into this.,Documents
Frequent call drops and poor signal - call drop for 2 days near Shivaji Chowk,Telecom
Cheque clearance taking too long since last week,Banking
ATM cash not received but balance debited - account; complaint not updated since yesterday Thanks.,Banking
Driver rash driving complaint - route; complaint not updated Kindly help.,Transport
Flat allotment not received after approval pls.,Housing
Wrong cylinder delivered by agency since yesterday sir/madam,Gas
College fee receipt not generated online; status pending since last week near Old City please resolve asap pls.,Education
Insurance claim not processed yet for 2 days near Ward 5 kindly look into this Kindly help.,Insurance
WiFi speed is very slow; status pending namaskar.,Internet Services
Train delayed without information for 2 days please resolve asap pls.,Railways
Road has big potholes causing accidents; complaint not updated near Phase 1 bahut problem pls.,Roads
WiFi speed is very slow for 3 days near Shivaji Chowk,Internet Services
Passport verification delayed - license for 3 days,Documents
Need help regarding government portal issue - misc please resolve asap pls.,Other
Frequent power cuts every night since yesterday Thanks.,Electricity
Transformer is sparking and making noise from 10 AM today.,Electricity
Hospital staff not available at counter; status pending near Civil Lines,Healthcare
Electricity bill shows wrong meter reading; status pending Kindly help.,Electricity
Internet bill paid but service suspended for 2 days near Nehru Nagar needs immediate attention.,Internet Services
Overcharging by vendors at station for a week pls.,Railways
Policy document not received; refund not received since last week near Sector 12!,Insurance
Passport verification delayed since yesterday near Model Town urgent please pls.,Documents
Safety issue in locality at night; portal error from 10 AM today urgent,Law & Order
Public toilet is not maintained near Old City urgent Thanks.,Sanitation
Public bus service delayed daily; status pending for a week near Gandhi Nagar madad kijiye.,Transport
Train delayed without information.,Railways
Salary not received under scheme; bill issue for 48 hours needs immediate attention.,Employment
Aadhaar update request pending for 2 days Kindly help.,Documents
Pension status showing pending for long time from 10 AM today Kindly help.,Pension
Housing scheme application rejected wrongly - housing scheme; status pending for 2 days!,Housing
Street road is flooded because of bad surface please resolve asap madad kijiye!,Roads
SIM not active even after recharge near Nehru Nagar high priority Thanks.,Telecom
Harassment complaint needs attention for 2 days high priority Kindly help.,Law & Order
Hospital staff not available at counter,Healthcare
Housing scheme application rejected wrongly; status pending since last month needs immediate attention.,Housing
WiFi speed is very slow - router for 48 hours,Internet Services
Water pipeline leakage on the street; complaint not updated from last night near MG Road,Water
School has no proper drinking water and toilets from last night pls.,Education
Need correction in insurance policy details; refund not received since last week near New Town high priority Kindly help.,Insurance
Employment office registration issue for 48 hours near New Town requesting quick action pls.,Employment
Hospital staff not available at counter; refund not received Kindly help.,Healthcare
Road has big potholes causing accidents since last month near Station Road pls.,Roads
Dirty water coming from taps; complaint not updated since yesterday Kindly help.,Water
Housing scheme application rejected wrongly since yesterday near Model Town pls.,Housing
Safety issue in locality at night urgent pls.,Law & Order
Name correction in PAN card not done high priority Thanks.,Documents
Requesting guidance for grievance process - help from last night bahut problem Thanks.,Other
College fee receipt not generated online - scholarship; bill issue kindly look into this.,Education
Drain is blocked and sewage is overflowing; support not responding since yesterday Kindly help.,Sanitation
Train delayed without information requesting quick action,Railways
Delay in pension payment every month kindly look into this,Pension
Medicine not available in dispensary near Block C pls.,Healthcare
Dirty water coming from taps; refund not received from 10 AM today near MG Road,Water
Overcharging by vendors at station; support not responding jaldi.,Railways
Flat allotment not received after approval near Gandhi Nagar needs immediate attention namaskar Kindly help.,Housing
GST registration issue on portal since last month pls.,Tax
Street road is flooded because of bad surface; support not responding since last month Thanks.,Roads
Wrong cylinder delivered by agency; bill issue please Thanks.,Gas
Wrong tax demand notice received pls.,Tax
ATM cash not received but balance debited since last month near Block C Kindly help.,Banking
Wrong cylinder delivered by agency since last week!,Gas
Policy document not received since yesterday requesting quick action kripya!,Insurance
SIM not active even after recharge; bill issue for a week please.,Telecom
Employment office registration issue since last month,Employment
No network coverage inside my house for 2 days near Old City Thanks.,Telecom
Pension status showing pending for long time since yesterday near Nehru Nagar Thanks.,Pension
Road has big potholes causing accidents; portal error please resolve asap Thanks.,Roads
Public bus service delayed daily since last week near Block C urgent Thanks.,Transport
Housing scheme application rejected wrongly - maintenance; portal error from last night Kindly help.,Housing
Frequent power cuts every night for a week near Block A!,Electricity
Insurance claim not processed yet high priority sir/madam pls.,Insurance
Ticketing machine not working in bus near Civil Lines kindly look into this!,Transport
No water supply to our house near Station Road kripya Kindly help.,Water
Scholarship amount not received - scholarship; bill issue from 10 AM today Thanks.,Education
Frequent power cuts every night near Sector 21,Electricity
ATM cash not received but balance debited; support not responding pls.,Banking
Housing scheme application rejected wrongly - housing scheme kindly look into this,Housing
Flat allotment not received after approval; refund not received.,Housing
Wrong tax demand notice received for 3 days kindly look into this,Tax
Water pipeline leakage on the street for 48 hours,Water
Drain is blocked and sewage is overflowing - cleaning for a week near Model Town.,Sanitation
Ticketing machine not working in bus - bus; complaint not updated from last night near Old City jaldi Thanks.,Transport
Electricity bill shows wrong meter reading near Ward 11 kindly look into this.,Electricity
Pension status showing pending for long time near New Town kindly look into this namaskar Thanks.,Pension
Passport verification delayed; service not working since yesterday near Ward 5,Documents
No water supply to our house; support not responding from last night needs immediate attention.,Water
Passport verification delayed; service not working since yesterday near Sector 21,Documents
WiFi speed is very slow near Civil Lines requesting quick action!,Internet Services
Net banking login not working for a week near Shivaji Chowk!,Banking
No water supply to our house; complaint not updated since yesterday needs immediate attention namaskar,Water
WiFi speed is very slow!,Internet Services
Flat allotment not received after approval near Phase 2,Housing
Safety issue in locality at night since last month near Ward 5 Thanks.,Law & Order
Broadband internet not working - internet down; support not responding near Model Town.,Internet Services
No street cleaning in our area since last month near Nehru Nagar,Sanitation
College fee receipt not generated online; support not responding near Shivaji Chowk urgent,Education
Delay in pension payment every month; portal error requesting quick action,Pension
SIM not active even after recharge for 48 hours Thanks.,Telecom
Water pipeline leakage on the street; complaint not updated since last week please resolve asap!,Water
Public bus service delayed daily near Block A requesting quick action Thanks.,Transport
Road construction left incomplete near Gandhi Nagar kindly look into this.,Roads
School has no proper drinking water and toilets for a week urgent,Education
